config,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
"K=2, init=k-means++",2,0,0.3123355261826544,1.3063834409662725,467.59624355565495
"K=2, init=random",2,0,0.3123355261826544,1.3063834409662725,467.59624355565495
"K=3, init=k-means++",3,0,0.3147745425765136,1.2215964397306607,484.39899055033396
"K=3, init=random",3,0,0.3147745425765136,1.2215964397306607,484.3989905503339
"K=4, init=k-means++",4,0,0.3109966184248878,1.3429131850314475,421.0627864824864
"K=4, init=random",4,0,0.3112119397783223,1.34304806024619,421.2301082983471
"K=5, init=k-means++",5,0,0.2842390127851998,1.2603905720491204,381.8572432132447
"K=5, init=random",5,0,0.28390870117187084,1.2614021565299773,381.85864348815574
