config,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
"n_clusters=2, linkage=ward",2,0,0.33994688509718013,1.117741480477454,394.20649943186993
"n_clusters=2, linkage=complete",2,0,0.21875500177226265,1.736278448734432,279.0152845932372
"n_clusters=2, linkage=average",2,0,0.3379638260675104,1.1395721187454801,402.406255565928
"n_clusters=2, linkage=single",2,0,0.13841491214021479,0.7697910715626343,1.502390203419391
"n_clusters=3, linkage=ward",3,0,0.2956369898234088,1.284885767246492,447.6335088112478
"n_clusters=3, linkage=complete",3,0,0.17834837256316305,1.8188720311329292,223.42183730808992
"n_clusters=3, linkage=average",3,0,0.2683164768281688,1.0738233846745588,231.6758985855572
"n_clusters=3, linkage=single",3,0,0.08448222068712519,0.7709073246079119,1.4985029493713073
"n_clusters=4, linkage=ward",4,0,0.29745353373933403,1.2288288830161305,392.7898065392722
"n_clusters=4, linkage=complete",4,0,0.2295567325058648,1.6429455626182956,255.2480573190363
"n_clusters=4, linkage=average",4,0,0.30713973750242524,1.1001560441011178,351.9309347347445
"n_clusters=4, linkage=single",4,0,0.07505806755166247,0.7323213348074615,2.52849286352606
"n_clusters=5, linkage=ward",5,0,0.30218275177479165,1.1699304497718646,354.9436092230334
"n_clusters=5, linkage=complete",5,0,0.25229819073511456,1.3495414808917414,310.7884919832488
"n_clusters=5, linkage=average",5,0,0.2871810660687341,1.0829424345436416,271.0483284163713
"n_clusters=5, linkage=single",5,0,0.06109214996840128,0.6984763244039612,2.596351051452501
